execution_time,physical_time,fill_rate,perfect_fill,retention_rate,target_size,total_moves,total_time,execution_time_std,physical_time_std,fill_rate_std,perfect_fill_std,retention_rate_std,target_size_std,total_moves_std,total_time_std,lattice_size,lattice_width,lattice_height,occupation_prob,loss_prob,strategy
0.0015207767486572266,0.01903797272727273,1.0,1.0,0.8231228079184849,161.5,60.7,0.020558749475929956,0.0005883537181884387,0.002287924427337276,0.0,0.0,0.03258049029757527,11.4564392373896,9.757561170702441,0.002642042930891019,20x20,20,20,0.5,0.05,corner
0.001132655143737793,0.011850209090909091,1.0,1.0,0.8906392044878718,246.7,44.3,0.012982864234646885,0.00021180251125501405,0.001036727649827744,0.0,0.0,0.026722327657845428,14.205984654363105,2.325940669922601,0.0011092612670951826,20x20,20,20,0.7,0.0,corner
0.0012584924697875977,0.012037463636363637,1.0,1.0,0.8933490333698664,249.8,46.1,0.013295956106151235,0.00037783249580087674,0.0011829731150057661,0.0,0.0,0.028790660564744764,12.4,4.414748010928823,0.0014115450511608418,20x20,20,20,0.7,0.01,corner
0.0015577077865600586,0.013095936363636368,1.0,1.0,0.8041685120749757,225.0,57.3,0.014653644150196427,0.00036613729740492804,0.0024743556122656316,0.0,0.0,0.022148273277571507,0.0,10.392785959500946,0.0026207067635279717,20x20,20,20,0.7,0.05,corner
0.0012389659881591798,0.003715299999999999,1.0,1.0,0.8932136310719139,324.0,25.3,0.004954265988159179,0.00026844177053218717,0.0007290855747367766,0.0,0.0,0.01198151630826034,0.0,3.1,0.0006312211959511732,20x20,20,20,0.9,0.0,corner
0.001283407211303711,0.004419863636363636,1.0,1.0,0.8971839097000431,324.0,28.5,0.005703270847667348,0.0003416186831731177,0.0008018322553392819,0.0,0.0,0.012576901294743955,0.0,2.9748949561287032,0.001013927468996314,20x20,20,20,0.9,0.01,corner
0.0010555028915405274,0.005100090909090908,1.0,1.0,0.8015259821392864,289.0,36.0,0.006155593800631435,0.00015385801161758975,0.0014509746459330341,0.0,0.0,0.008196026945052934,0.0,8.318653737234168,0.0015028880755544544,20x20,20,20,0.9,0.05,corner
4.897117614746094e-05,0.0,1.0,1.0,0.9025000000000001,361.0,0.0,4.897117614746094e-05,3.2919036091028608e-06,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,3.2919036091028608e-06,20x20,20,20,1.0,0.0,corner
6.0057640075683595e-05,0.0,1.0,1.0,0.9025000000000001,361.0,0.0,6.0057640075683595e-05,2.160142061653118e-05,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,2.160142061653118e-05,20x20,20,20,1.0,0.01,corner
0.00046589374542236326,0.0,1.0,1.0,0.8100000000000002,324.0,0.0,0.00046589374542236326,0.0009566129200039246,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0009566129200039246,20x20,20,20,1.0,0.05,corner
